name,price,stock
2021 Toyota Highlander Hybrid Platinum," $50,140",MS032078
2021 Toyota Sienna Limited," $51,810",MS006686
2021 Toyota Tundra Limited Double Cab 6.5' Bed 5.7L," $49,181",MX47E591
2021 Toyota Highlander Hybrid Limited," $47,942",MS030182
2021 Toyota Highlander Hybrid Platinum," $50,140",MS028960
2021 Toyota Highlander Hybrid Platinum," $49,762",MS024445
2021 Toyota Highlander Hybrid Limited," $48,053",MS521727
2021 Toyota Highlander Platinum," $48,273",MS079935
2021 Toyota 4Runner Nightshade," $47,738",M5881661
2021 Toyota Highlander Hybrid Limited," $47,942",MS521790
2021 Toyota Highlander Platinum," $48,954",MS080308
2021 Toyota 4Runner Nightshade," $48,748",M5863322
2021 Toyota Tundra Platinum CrewMax 5.5' Bed 5.7L," $55,102",MX984015
2021 Toyota Tundra 1794 Edition CrewMax 5.5' Bed 5.7L," $56,520",MX989463
